transaction_id,customer_id,transaction_date,amount_gbp,country,channel,payment_method,account_age_days,num_items,is_fraud,fraud_risk_score,risk_band
TXN113317,5043,2025-01-01 00:36:00,63.86,Nigeria,web,debit_card,1859,3,0,9.137330725062968e-06,Low
TXN109579,5772,2025-01-01 00:55:00,28.33,Brazil,mobile_app,credit_card,652,4,0,9.137330725062968e-06,Low
TXN106435,3472,2025-01-01 01:37:00,12.12,Germany,web,credit_card,1880,2,0,9.137330725062968e-06,Low
TXN100805,4711,2025-01-01 01:38:00,105.7,France,web,bank_transfer,724,7,0,9.137330725062968e-06,Low
TXN105154,5604,2025-01-01 02:08:00,74.67,France,web,paypal,544,5,0,9.137330725062968e-06,Low
TXN111123,4054,2025-01-01 02:23:00,53.9,UK,web,debit_card,570,3,0,9.137330725062968e-06,Low
TXN113859,4126,2025-01-01 02:27:00,20.32,UK,mobile_app,paypal,640,5,0,9.137330725062968e-06,Low
TXN119753,3042,2025-01-01 02:29:00,15.23,UK,web,credit_card,1254,6,0,9.137330725062968e-06,Low
TXN112113,5419,2025-01-01 02:43:00,28.69,Germany,web,debit_card,1972,5,0,9.137330725062968e-06,Low
TXN111709,2712,2025-01-01 02:49:00,73.51,UK,mobile_app,paypal,1171,6,0,9.137330725062968e-06,Low
TXN119081,3963,2025-01-01 03:04:00,43.27,Germany,mobile_app,gift_card,1224,5,0,9.137330725062968e-06,Low
TXN116425,4449,2025-01-01 03:23:00,16.53,US,web,debit_card,1051,2,0,9.137330725062968e-06,Low
TXN110514,4189,2025-01-01 04:13:00,44.32,US,mobile_app,debit_card,1963,2,0,9.137330725062968e-06,Low
TXN104912,2245,2025-01-01 04:13:00,69.94,France,in_store,credit_card,486,7,0,9.137330725062968e-06,Low
TXN100667,1782,2025-01-01 04:15:00,90.6,India,mobile_app,gift_card,1777,4,0,9.137330725062968e-06,Low
TXN106245,2731,2025-01-01 05:25:00,38.46,UK,web,credit_card,281,5,0,9.137330725062968e-06,Low
TXN103165,4630,2025-01-01 05:44:00,77.0,UK,web,credit_card,964,6,0,9.137330725062968e-06,Low
TXN101478,1902,2025-01-01 05:50:00,87.85,France,web,credit_card,1624,5,0,9.137330725062968e-06,Low
TXN118891,2596,2025-01-01 08:48:00,29.5,UK,in_store,debit_card,1394,3,0,9.137330725062968e-06,Low
TXN106974,1540,2025-01-01 08:55:00,29.67,Germany,mobile_app,bank_transfer,814,7,0,9.137330725062968e-06,Low
TXN113724,4784,2025-01-01 09:17:00,38.36,UK,mobile_app,debit_card,376,7,0,9.137330725062968e-06,Low
TXN100912,1692,2025-01-01 09:51:00,73.83,Nigeria,web,debit_card,235,7,0,9.137330725062968e-06,Low
TXN107769,5962,2025-01-01 10:14:00,679.81,US,mobile_app,paypal,11,4,1,0.9997162871117306,High
